Ada,Aidat,Balkon Durumu,Balkon Metrekare,Balkon SayÄ±sÄ±,Balkon Sayısı,Balkon Tipi,Banyo Metrekare,Banyo SayÄ±sÄ±,Banyo Sayısı,BinanÄ±n Kat SayÄ±sÄ±,BinanÄ±n YaÅŸÄ±,Binanın Kat Sayısı,Binanın Yaşı,BrÃ¼t Metrekare,Brüt Metrekare,BulunduÄŸu Kat,Bulunduğu Kat,EÅŸya Durumu,Eşya Durumu,Fiyat Durumu,GÃ¶rÃ¼ntÃ¼lÃ¼ Gezilebilir mi?,Görüntülü Gezilebilir mi?,IsÄ±tma Tipi,Isıtma Tipi,Kategorisi,Kira Getirisi,Krediye Uygunluk,KullanÄ±m Durumu,Kullanım Durumu,Net Metrekare,Oda SayÄ±sÄ±,Oda Sayısı,Pafta,Parsel,Salon Metrekare,Site Ä°Ã§erisinde,Site İçerisinde,Takas,Tapu Durumu,Tipi,TÃ¼rÃ¼,Türü,WC Metrekare,WC SayÄ±sÄ±,WC Sayısı,YapÄ± Durumu,YapÄ± Tipi,Yapı Durumu,Yapı Tipi,YatÄ±rÄ±ma Uygunluk,Yatırıma Uygunluk,Zemin Etüdü,Ä°lan GÃ¼ncelleme Tarihi,Ä°lan NumarasÄ±,Ä°lan OluÅŸturma Tarihi,Ä°potek Durumu,İlan Güncelleme Tarihi,İlan Numarası,İlan Oluşturma Tarihi,İpotek Durumu,URL,FİYAT,KONUM
,,Var,,,1,,,,1,,,3,0 (Yeni),,65 M2,,3.Kat,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,60 M2,,1 Oda,,,,,Hayır,,,Daire,,Konut,,,,,,,,,,,,,,,10 Aralık 2023,14322385,29 Kasım 2023,,https://www.emlakjet.com//ilan/dalaman-a-yakin-mugla-ortaca-da-satilik-11-daire-14322385/,1.625.000 TL,Muğla - Ortaca - Yerbelen Mh.
,,,,,,,,,1,,,3,21 Ve Üzeri,,135 M2,,2.Kat,,,Genel Fiyat,,,,Sobalı,Satılık,15000 TL,Krediye Uygun,,Boş,130 M2,,3+1,,,,,Hayır,,,Daire,,Konut,,,,,,,,,,,,,,,18 Aralık 2023,14320245,29 Kasım 2023,,https://www.emlakjet.com//ilan/acil-satilik-31-daire-14320245/,3.250.000 TL,Muğla - Menteşe - Muslihittin Mh.
,,,,,,,,,1,,,2,0 (Yeni),,65 M2,,Düz Giriş (Zemin),,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,60 M2,,1+1,,,,,Hayır,Yok,Kat İrtifakı,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,29 Kasım 2023,14319812,29 Kasım 2023,,https://www.emlakjet.com//ilan/yildirim-emlak-tan-satilik-sifir-11-65m2-daire-14319812/,1.650.000 TL,Muğla - Ortaca - Karaburun Mh.
,,,,,,,,,2,,,3,4,,125 M2,,2.Kat,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Kiracı Oturuyor,120 M2,,3+1,,,,,Hayır,Yok,Kat İrtifakı,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,29 Kasım 2023,14319811,29 Kasım 2023,,https://www.emlakjet.com//ilan/yildirim-emlak-tan-ortaca-karaburun-mah-satilik-31-120m2-daire-14319811/,2.900.000 TL,Muğla - Ortaca - Karaburun Mh.
,,,,,,,,,1,,,2,21 Ve Üzeri,,120 M2,,2.Kat,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Kiracı Oturuyor,110 M2,,3+1,,,,,Hayır,Var,,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,28 Kasım 2023,14316579,28 Kasım 2023,,https://www.emlakjet.com//ilan/ortaca-merkez-de-mustakil-keyfinde-yatirima-uygun-satilik-daire-14316579/,2.190.000 TL,Muğla - Ortaca - Atatürk Mh.
,,,,,,,,,1,,,3,0 (Yeni),,68 M2,,2.Kat,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,55 M2,,1+1,,,,,Hayır,Yok,,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,28 Kasım 2023,14316573,28 Kasım 2023,,https://www.emlakjet.com//ilan/mugla-ortaca-da-satilik-11-ve-21-projeden-daireler-14316573/,1.550.000 TL,Muğla - Ortaca - Cumhuriyet Mh.
,,,,,,,,,1,,,2,21 Ve Üzeri,,100 M2,,Çatı Katı,,,Genel Fiyat,,,,Sobalı,Satılık,,Krediye Uygun,,Boş,90 M2,,3+1,,,,,Hayır,Yok,,Daire,,Konut,,,,,,İkinci El,Betonarme,,Bilinmiyor,,,,,,30 Kasım 2023,14316555,28 Kasım 2023,,https://www.emlakjet.com//ilan/mentese-orhaniye-de-en-uygun-fiyatli-100-m2-31-satilik-daire-14316555/,1.900.000 TL,Muğla - Menteşe - Orhaniye Mh.
,,,,,,,,,1,,,3,21 Ve Üzeri,,100 M2,,2.Kat,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,50 M2,,1+1,,,,,Hayır,Var,,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,28 Kasım 2023,14313434,28 Kasım 2023,,https://www.emlakjet.com//ilan/marmaris-sevgi-yoluna-cepheli-11-50m2-kismi-deniz-manzarli-14313434/,2.950.000 TL,Muğla - Marmaris - Tepe Mh.
,,,,,,,,,1,,,3,3,,70 M2,,2.Kat,,,Genel Fiyat,,,,Kombi Doğalgaz,Satılık,,Krediye Uygun,,Boş,65 M2,,1+1,,,,,Hayır,Yok,,Daire,,Konut,,,,,,İkinci El,Betonarme,,Bilinmiyor,,,,,,27 Kasım 2023,14312309,27 Kasım 2023,,https://www.emlakjet.com//ilan/bayir-da-merkezi-konumlu-ara-kat-11-daire-14312309/,1.700.000 TL,Muğla - Menteşe - Bayır Mh.
,,,,,,,,,1,,,3,4,,60 M2,,3.Kat,,Eşyalı,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Kiracı Oturuyor,50 M2,,1+1,,,,,Hayır,Yok,Kat İrtifakı,Daire,,Konut,,,,,,İkinci El,Betonarme,,Bilinmiyor,,,,,,21 Aralık 2023,14306802,27 Kasım 2023,,https://www.emlakjet.com//ilan/ortaca-karaburun-da-emsallerine-gore-genis-11-esyali-dairemiz-satiliktir-14306802/,2.000.000 TL,Muğla - Ortaca - Karaburun Mh.
,,,,,,,,,1,,,5,5-10,,100 M2,,2.Kat,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Kiracı Oturuyor,85 M2,,2+1,,,,,Hayır,Yok,,Daire,,Konut,,,,,,İkinci El,Betonarme,,Bilinmiyor,,,,,,21 Aralık 2023,14306800,27 Kasım 2023,,https://www.emlakjet.com//ilan/ortaca-merkez-de-21-kapali-mutfak-genis-kat-mulkiyetli-satilik-daire-14306800/,2.250.000 TL,Muğla - Ortaca - Atatürk Mh.
,,,,,,,,,1,,,4,11-15,,145 M2,,Çatı Katı,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,135 M2,,3+1,,,,,Hayır,Var,Kat İrtifakı,Daire,,Konut,,,,,,İkinci El,Betonarme,,Bilinmiyor,,,,,,21 Aralık 2023,14306797,27 Kasım 2023,,https://www.emlakjet.com//ilan/ortaca-merkez-de-31-genis-asansorlu-yapili-satilik-daire-14306797/,2.525.000 TL,Muğla - Ortaca - Atatürk Mh.
,,,,,,,,,1,,,2,0 (Yeni),,45 M2,,Düz Giriş (Zemin),,,Genel Fiyat,,,,Kombi Doğalgaz,Satılık,,Krediye Uygun,,Boş,30 M2,,1+1,,,,,Hayır,Yok,Bilinmiyor,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,29 Kasım 2023,14305377,26 Kasım 2023,,https://www.emlakjet.com//ilan/lider-den-mugla-mentese-yenikoy-de-satilik-11-yeni-daire-14305377/,1.635.000 TL,Muğla - Menteşe - Yeniköy Mh.
,,,,,,,,,1,,,3,0 (Yeni),,95 M2,,2.Kat,,,Genel Fiyat,,,,Yerden Isıtma,Satılık,,Krediye Uygun,,Boş,90 M2,,2+1,,,,,Hayır,Yok,Kat İrtifakı,Daire,,Konut,,,,,,,Betonarme,,Bilinmiyor,,,,,,26 Kasım 2023,14304674,26 Kasım 2023,,https://www.emlakjet.com//ilan/ortaca-karaburun-mahaiiesinde-21-lux-daire-14304674/,2.950.000 TL,Muğla - Ortaca - Karaburun Mh.
0,350 TL,Var,20 M2,,3,Açık Balkon,6 M2,,1,,,3,5-10,,130 M2,,2.Kat,,Eşyalı,Genel Fiyat,,Evet,,Klimalı,Satılık,25000 TL,Krediye Uygun,,Mülk Sahibi Oturuyor,120 M2,,2+1,1,3032,40 M2,,Hayır,,Kat Mülkiyeti,Daire,,Konut,5 M2,,2,,,İkinci El,Betonarme,,Yatırıma Uygun,,,,,,22 Aralık 2023,14302448,25 Kasım 2023,Yok,https://www.emlakjet.com//ilan/marmaris-sitelerde-denize-5-dakika-mesafede-130-m2-dubleks-daire-14302448/,9.500.000 TL,Muğla - Marmaris - Armutalan Mh.
,,,,,,,,,2,,,4,11-15,,160 M2,,Bahçe Dublex,,Eşyalı,Genel Fiyat,,Hayır,,Klimalı,Satılık,,Krediye Uygun,,Mülk Sahibi Oturuyor,145 M2,,3+1,,,,,Hayır,Yok,Kat Mülkiyeti,Daire,,Konut,,,1,,,İkinci El,Betonarme,,Yatırıma Uygun,,,,,,11 Aralık 2023,14302110,25 Kasım 2023,Yok,https://www.emlakjet.com//ilan/icmeler-de-havuzlu-sitede-31-ters-dubleks-daire-14302110/,9.150.000 TL,Muğla - Marmaris - İçmeler Mh.
,,Var,,,,,,,2,,,4,11-15,,120 M2,,Çatı Dubleks,,Boş,Genel Fiyat,,Hayır,,Klimalı,Satılık,30000 TL,Krediye Uygun,,Mülk Sahibi Oturuyor,110 M2,,3+1,,,,,Hayır,Yok,Kat Mülkiyeti,Daire,,Konut,,,1,,,İkinci El,Betonarme,,Yatırıma Uygun,,,,,,29 Kasım 2023,14301864,25 Kasım 2023,Yok,https://www.emlakjet.com//ilan/icmeler-de-havuzlu-sitede-kiracisiz-bahce-dubleks-daire-14301864/,8.750.000 TL,Muğla - Marmaris - İçmeler Mh.
,0 TL,Var,,,2," Fransız Balkon, Kapalı Balkon  ",,,2,,,2,5-10,,100 M2,,1.Kat,,,Genel Fiyat,,,,Kombi Doğalgaz,Satılık,13000 TL,Bilinmiyor,,Mülk Sahibi Oturuyor,90 M2,,3+1,,,,,Hayır,Var,Kat Mülkiyeti,Daire,,Konut,,,2,,,İkinci El,Betonarme,,Yatırıma Uygun,,,,,,25 Kasım 2023,14300168,25 Kasım 2023,,https://www.emlakjet.com//ilan/mentese-bayir-bahceli-ev-14300168/,3.550.000 TL,Muğla - Menteşe - Bayır Mh.
,,Var,,,1,Açık Balkon,,,1,,,3,3,,70 M2,,2.Kat,,Boş,Genel Fiyat,,,,Kombi Doğalgaz,Satılık,,Krediye Uygun,,Boş,65 M2,,1+1,,,,,Hayır,,Kat Mülkiyeti,Daire,,Konut,,,1,,,İkinci El,Betonarme,,Yatırıma Uygun,,,,,,24 Kasım 2023,14299461,24 Kasım 2023,Yok,https://www.emlakjet.com//ilan/bayir-da-merkezi-konumlu-ara-kat-11-daire-14299461/,1.700.000 TL,Muğla - Menteşe - Bayır Mh.
,,Var,,,,,,,2,,,4,11-15,,320 M2,,Villa Tipi,,Eşyalı,Genel Fiyat,,Hayır,,Klimalı,Satılık,35000 TL,Krediye Uygun,,Mülk Sahibi Oturuyor,220 M2,,5+2,,,,,Hayır,Yok,Kat Mülkiyeti,Daire,,Konut,,,1,,,İkinci El,Betonarme,,Yatırıma Uygun,,,,,,30 Kasım 2023,14298991,24 Kasım 2023,Yok,https://www.emlakjet.com//ilan/beldibin-de-satilik-genis-kullanimli-ikiz-villa-14298991/,9.250.000 TL,Muğla - Marmaris - Beldibi Mh.
,,Var,,,,,,,1,,,4,11-15,,60 M2,,4.Kat,,,Genel Fiyat,,Hayır,,Kombi Doğalgaz,Satılık,,Krediye Uygun,,Kiracı Oturuyor,55 M2,,2+1,,,,,Hayır,Yok,Bilinmiyor,Daire,,Konut,,,,,,,,,Yatırıma Uygun,,,,,,21 Aralık 2023,14298226,24 Kasım 2023,,https://www.emlakjet.com//ilan/mugla-mentese-kotekli-de-iyi-konumlu-21-satilik-daire-14298226/,1.650.000 TL,Muğla - Menteşe - Kötekli Mh.
,,Var,,,,,,,1,,,3,11-15,,80 M2,,2.Kat,,Boş,Genel Fiyat,,Evet,,Güneş Enerjisi,Satılık,,Krediye Uygun,,Boş,70 M2,,2+1,,,,,Hayır,Yok,,Daire,,Konut,,,1,,,,Betonarme,,Bilinmiyor,,,,,,12 Aralık 2023,14297399,24 Kasım 2023,,https://www.emlakjet.com//ilan/ortaca-da-21-merkezde-ofis-daire-satilik-14297399/,2.000.000 TL,Muğla - Ortaca - Beşköprü Mh.
,,,,,,,,,1,,,1,5-10,,980 M2,,Bahçe Katı,,,Genel Fiyat,,,,Sobalı,Satılık,,Krediye Uygun,,Boş,100 M2,,2+1,,,,,Hayır,Yok,Bilinmiyor,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,06 Aralık 2023,14295210,23 Kasım 2023,,https://www.emlakjet.com//ilan/mugla-mentese-akkaya-arazi-icerisin-de-21-satilik-daire-14295210/,3.225.000 TL,Muğla - Menteşe - Akkaya Mh.
,,,,,,,,,1,,,4,5-10,,95 M2,,2.Kat,,,Genel Fiyat,,,,Kombi Doğalgaz,Satılık,,Krediye Uygun Değil,,Kiracı Oturuyor,90 M2,,2+1,,,,,Hayır,Yok,,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,06 Aralık 2023,14295209,23 Kasım 2023,,https://www.emlakjet.com//ilan/mugla-mentese-orhaniye-mahallesinde-satilik-21-daire-14295209/,3.150.000 TL,Muğla - Menteşe - Orhaniye Mh.
,,,,,,,,,2,,,2,2,,180 M2,,Çatı Katı,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Mülk Sahibi Oturuyor,165 M2,,4+1,,,,,Hayır,Yok,,Daire,,Konut,,,,,,İkinci El,,,Bilinmiyor,,,,,,23 Kasım 2023,14293795,23 Kasım 2023,,https://www.emlakjet.com//ilan/koycegiz-gelisim-mah-41-cati-dubleksi-14293795/,4.750.000 TL,Muğla - Köyceğiz - Gelişim Mh.
,,Var,,,1,,,,1,,,5,0 (Yeni),,60 M2,,5.Kat,,Boş,Genel Fiyat,,,,Klimalı,Satılık,10000 TL,Krediye Uygun,,Boş,50 M2,,1+1,,,,,Hayır,,,Daire,,Konut,,,,,,,,,,,,,,,23 Kasım 2023,14291775,23 Kasım 2023,,https://www.emlakjet.com//ilan/satilik-11rezidans-14291775/,1.550.000 TL,Muğla - Ortaca - Cumhuriyet Mh.
,,Var,,,1,Açık Balkon,,,1,,,3,0 (Yeni),,55 M2,,Yüksek Giriş,,Boş,Genel Fiyat,,Evet,,Klimalı,Satılık,9000 TL,Krediye Uygun,,Boş,50 M2,,1+1,,,,,Hayır,Var,Kat İrtifakı,Daire,,Konut,,,1,,,Sıfır,Betonarme,,Yatırıma Uygun,,,,,,22 Kasım 2023,14289457,22 Kasım 2023,,https://www.emlakjet.com//ilan/ortaca-deniz-emlak-tan-karaburun-da-satilik-11-daire-14289457/,1.530.000 TL,Muğla - Ortaca - Karaburun Mh.
,,Var,,,2,Açık Balkon,,,1,,,3,2,,110 M2,,Yüksek Giriş,,Boş,Genel Fiyat,,Evet,,Klimalı,Satılık,,Krediye Uygun,,Boş,85 M2,,3+1,,,,,Hayır,Yok,Kat İrtifakı,Daire,,Konut,,,1,,,İkinci El,Betonarme,,Yatırıma Uygun,,,,,,22 Kasım 2023,14289183,22 Kasım 2023,,https://www.emlakjet.com//ilan/ortaca-deniz-emlak-tan-satilik-31-daire-14289183/,2.750.000 TL,Muğla - Ortaca - Cumhuriyet Mh.
,,Var,,,1,,,,1,,,5,1,,70 M2,,4.Kat,,Boş,Genel Fiyat,,Hayır,,Klimalı,Satılık,,Krediye Uygun,,Boş,62 M2,,1+1,,,,,Hayır,,Kat Mülkiyeti,Daire,,Konut,,,,,,,,,,,,,,,23 Aralık 2023,14288875,22 Kasım 2023,,https://www.emlakjet.com//ilan/stop-tan-ortaca-merkez-de-11-satilik-daire-14288875/,1.600.000 TL,Muğla - Ortaca - Terzialiler Mh.
,,Var,,,,,4 M2,,1,,,3,0 (Yeni),,95 M2,,2.Kat,,,Genel Fiyat,,,,Yerden Isıtma,Satılık,,Krediye Uygun,,Boş,90 M2,,2+1,,,,,Hayır,,Kat İrtifakı,Daire,,Konut,,,,,,Sıfır,Betonarme,,,,,,,,26 Kasım 2023,14287985,22 Kasım 2023,Yok,https://www.emlakjet.com//ilan/ortaca-karaburun-mahallesinde-21-satilik-lux-daire-14287985/,2.950.000 TL,Muğla - Ortaca - Karaburun Mh.
,,Var,,,3,Açık Balkon,,,2,,,3,2,,120 M2,,2.Kat,,Boş,Genel Fiyat,,Evet,,Klimalı,Satılık,13000 TL,Krediye Uygun,,Boş,110 M2,,3+1,,,,,Hayır,Var,Kat İrtifakı,Daire,,Konut,,,2,,,İkinci El,Betonarme,,,,,,,,22 Kasım 2023,14286899,22 Kasım 2023,,https://www.emlakjet.com//ilan/ortaca-deniz-emlak-tan-satilik-karaburun-da-31-daire-14286899/,2.850.000 TL,Muğla - Ortaca - Karaburun Mh.
,,Var,,,,,,,1,,,4,16-20,,125 M2,,1.Kat,,,Genel Fiyat,,,,Klimalı,Satılık,15000 TL,Bilinmiyor,,Mülk Sahibi Oturuyor,113 M2,,3+1,,,,,Hayır,,Kat İrtifakı,Daire,,Konut,,,,,,,,,,,,,,,22 Kasım 2023,14284085,21 Kasım 2023,,https://www.emlakjet.com//ilan/31-satilik-daire-14284085/,1.750.000 TL,Muğla - Ortaca - Atatürk Mh.
,,Var,,,,,,,2,,,4,3,,150 M2,,3.Kat,,Boş,Genel Fiyat,,Evet,,Güneş Enerjisi,Satılık,,Krediye Uygun,,Boş,140 M2,,3+1,,,,,Hayır,Yok,,Daire,,Konut,,,2,,,İkinci El,Betonarme,,Yatırıma Uygun,,,,,,22 Kasım 2023,14283944,21 Kasım 2023,,https://www.emlakjet.com//ilan/ortaca-merkeze-yakin-31-150m2-genis-daire-satilik-14283944/,4.000.000 TL,Muğla - Ortaca - Bahçelievler Mh.
,,,,,,,,,4,,,3,2,,160 M2,,Bahçe Dublex,,,Genel Fiyat,,,,Klimalı,Satılık,25000 TL,Krediye Uygun,,Boş,133 M2,,4+1,,,,,Hayır,,,Daire,,Konut,,,,,,,,,,,,,,,23 Kasım 2023,14281994,21 Kasım 2023,,https://www.emlakjet.com//ilan/dalyanda-havuzlu-mustakil-luks-villa-41-dubleks-mustakil-14281994/,7.900.000 TL,Muğla - Ortaca - Dalyan Mh.
,,,,,,,,,2,,,3,0 (Yeni),,100 M2,,2.Kat,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,90 M2,,2+1,,,,,Hayır,Var,Kat İrtifakı,Daire,,Konut,,,,,,Sıfır,Betonarme,,Bilinmiyor,,,,,,21 Aralık 2023,14281136,20 Kasım 2023,,https://www.emlakjet.com//ilan/ortaca-cayli-da-arac-takasli-21-luks-ebeveyn-banyolu-daire-14281136/,2.600.000 TL,Muğla - Ortaca - Çaylı Mh.
,,,,,,,,,1,,,3,0 (Yeni),,60 M2,,1.Kat,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,50 M2,,1+1,,,,,Hayır,Yok,Kat İrtifakı,Daire,,Konut,,,,,,Sıfır,Betonarme,,Bilinmiyor,,,,,,20 Kasım 2023,14281132,20 Kasım 2023,,https://www.emlakjet.com//ilan/ortaca-cayli-da-genis-11-firsat-sifir-satilik-daire-14281132/,1.800.000 TL,Muğla - Ortaca - Çaylı Mh.
,,Var,,,1,,,,1,,,4,16-20,,50 M2,,1.Kat,,Eşyalı,Genel Fiyat,,Hayır,,Klimalı,Satılık,13000 TL,Krediye Uygun,,Mülk Sahibi Oturuyor,45 M2,,1+1,,,,,Hayır,,Kat Mülkiyeti,Daire,,Konut,,,1,,,,Betonarme,,Yatırıma Uygun,,,,,,12 Aralık 2023,14278487,20 Kasım 2023,Yok,https://www.emlakjet.com//ilan/son-fiyat-cildir-mahallesinde-denize-30-metre-11-daire-14278487/,3.500.000 TL,Muğla - Marmaris - Çıldır Mh.
,,Var,10 M2,,1,Açık Balkon,,,2,,,2,0 (Yeni),,95 M2,,1.Kat,,,Birim Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,85 M2,,2+1,,,,,Hayır,,,Daire,,Konut,,,,,,,,,,,,,,,20 Aralık 2023,14278449,20 Kasım 2023,,https://www.emlakjet.com//ilan/satilik-genis-21-daire-14278449/,2.800.000 TL,Muğla - Ortaca - Terzialiler Mh.
,,,,,,,,,1,,,3,2,,80 M2,,2.Kat,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,75 M2,,1+1,,,,,Hayır,,,Daire,,Konut,,,,,,,,,,,,,,,22 Aralık 2023,14278204,20 Kasım 2023,,https://www.emlakjet.com//ilan/11-daire-14278204/,1.650.000 TL,Muğla - Ortaca - Cumhuriyet Mh.
,,Var,,,1,Açık Balkon,,,1,,,4,16-20,,150 M2,,4.Kat,,,Birim Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,140 M2,,3+1,,,,,Evet,,Kat İrtifakı,Daire,,Konut,,,2,,,İkinci El,Betonarme,,,,,,,,21 Aralık 2023,14273654,18 Kasım 2023,,https://www.emlakjet.com//ilan/ortaca-deniz-emlaktan-satilik-31daire-14273654/,1.750.000 TL,Muğla - Ortaca - Dikmekavak Mh.
,0 TL,Var,,,2,Açık Balkon,,,2,,,2,0 (Yeni),,95 M2,,2.Kat,,,Genel Fiyat,,,,Yerden Isıtma,Satılık,12000 TL,Krediye Uygun,,Boş,90 M2,,2+1,,,,,Hayır,,,Daire,,Konut,,,,,,,,,,,,,,,18 Kasım 2023,14270638,18 Kasım 2023,,https://www.emlakjet.com//ilan/deniz-emlak-tan-satilik-21-daire-14270638/,2.800.000 TL,Muğla - Ortaca - Bahçelievler Mh.
,,Var,,,1,Açık Balkon,,,1,,,2,4,,55 M2,,1.Kat,,Eşyalı,Genel Fiyat,,Evet,,Kombi Doğalgaz,Satılık,,Krediye Uygun,,Boş,50 M2,,1+1,,,,,Hayır,Yok,Kat Mülkiyeti,Daire,,Konut,,,1,,,İkinci El,Betonarme,,Yatırıma Uygun,Var,,,,,18 Aralık 2023,14270040,18 Kasım 2023,Yok,https://www.emlakjet.com//ilan/la-serra-home-ofis-te-esyali-ara-kat-55-m2-11-luks-daire-14270040/,3.200.000 TL,Muğla - Menteşe - Emirbeyazıt Mh.
,,Var,,,1,,,,1,,,3,0 (Yeni),,90 M2,,2.Kat,,Boş,Genel Fiyat,,Evet,,Klimalı,Satılık,,Krediye Uygun Değil,,Boş,80 M2,,2+1,,,,,Hayır,,Kat İrtifakı,Daire,,Konut,,,,,,Sıfır,Betonarme,,Yatırıma Uygun,Var,,,,,18 Kasım 2023,14269654,18 Kasım 2023,Yok,https://www.emlakjet.com//ilan/ortaca-deniz-emlaktan-satilik-daireler-14269654/,3.550.000 TL,Muğla - Ortaca - Beşköprü Mh.
,,,,,,,,1,,2,21 Ve Ãœzeri,,,140 M2,,2.Kat,,,,Genel Fiyat,,,SobalÄ±,,SatÄ±lÄ±k,,Bilinmiyor,BoÅŸ,,120 M2,3+1,,,,,HayÄ±r,,Yok,,Daire,Konut,,,,,Ä°kinci El,Betonarme,,,Bilinmiyor,,,17 KasÄ±m 2023,14269388,17 KasÄ±m 2023,,,,,,https://www.emlakjet.com//ilan/sec-yapi-group-dan-mugla-ortaca-da-satilik-31-daire-14269388/,2.250.000 TL,Muğla - Ortaca - Atatürk Mh.
,,Yok,,,,,,,1,,,3,0 (Yeni),,55 M2,,1.Kat,,Boş,Genel Fiyat,,Evet,,Klimalı,Satılık,,Krediye Uygun,,Boş,45 M2,,1+1,,,,,Hayır,,Kat İrtifakı,Daire,,Konut,,,1,,,Sıfır,Betonarme,,Yatırıma Uygun,,,,,,21 Aralık 2023,14268075,17 Kasım 2023,Yok,https://www.emlakjet.com//ilan/ortaca-deniz-emlaktan-satilik-11-daire-14268075/,1.500.000 TL,Muğla - Ortaca - Karaburun Mh.
,,Var,,,2,,,,2,,,3,4,,155 M2,,2.Kat,,,Genel Fiyat,,Evet,,Klimalı,Satılık,,Bilinmiyor,,Boş,150 M2,,3+1,,,,,Hayır,Var,Kat İrtifakı,Daire,,Konut,,,2,,,İkinci El,,,,,,,,,18 Kasım 2023,14264169,17 Kasım 2023,,https://www.emlakjet.com//ilan/ortaca-deniz-emlaktan-satilik-31-satilik-daire-14264169/,3.500.000 TL,Muğla - Ortaca - Cumhuriyet Mh.
,,,,,,,,,1,,,3,0 (Yeni),,60 M2,,Bahçe Katı,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,50 M2,,1+1,,,,,Hayır,Yok,Kat İrtifakı,Daire,,Konut,,,,,,Sıfır,Betonarme,,Bilinmiyor,,,,,,20 Kasım 2023,14263518,16 Kasım 2023,,https://www.emlakjet.com//ilan/dalaman-a-dalyan-a-yakin-ortaca-da-genis-11-luks-sifir-daire-14263518/,1.800.000 TL,Muğla - Ortaca - Çaylı Mh.
,,,,,,,,,1,,,3,0 (Yeni),,90 M2,,2.Kat,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,80 M2,,2+1,,,,,Hayır,Yok,Kat İrtifakı,Daire,,Konut,,,,,,Sıfır,Betonarme,,Bilinmiyor,,,,,,21 Aralık 2023,14263514,16 Kasım 2023,,https://www.emlakjet.com//ilan/yerbelen-de-havuzlu-cift-asansorlu-luks-21-satilik-daire-14263514/,2.050.000 TL,Muğla - Ortaca - Yerbelen Mh.
,,Var,30 M2,,2," Açık Balkon, Açık Teras  ",15 M2,,2,,,2,11-15,,170 M2,,Villa Tipi,,Boş,Genel Fiyat,,,,Klimalı,Satılık,50000 TL,Krediye Uygun,,Mülk Sahibi Oturuyor,150 M2,,4+1,,,30 M2,,Hayır,Yok,Müstakil Tapulu,Daire,,Konut,,,2,,,İkinci El,Betonarme,,Yatırıma Uygun,,,,,,16 Kasım 2023,14263486,16 Kasım 2023,Yok,https://www.emlakjet.com//ilan/sarigerme-satilik-villa-14263486/,11.900.000 TL,Muğla - Ortaca - Sarıgerme Mh.
,,,,,,,,,1,,,3,4,,75 M2,,2.Kat,,,Genel Fiyat,,,,Klimalı,Satılık,,Bilinmiyor,,Mülk Sahibi Oturuyor,70 M2,,1+1,,,,,Evet,,,Daire,,Konut,,,,,,,,,,,,,,,16 Kasım 2023,14261155,16 Kasım 2023,,https://www.emlakjet.com//ilan/deniz-emlaktan-satilik-11-14261155/,1.750.000 TL,Muğla - Ortaca - Cumhuriyet Mh.
,,Var,,,,,,,2,,,4,16-20,,160 M2,,3.Kat,,Boş,Genel Fiyat,,Hayır,,Klimalı,Satılık,,Krediye Uygun,,Mülk Sahibi Oturuyor,140 M2,,3+1,,,,,Hayır,Var,Kat İrtifakı,Daire,,Konut,,,2,,,İkinci El,,,Yatırıma Uygun,Var,,,,,05 Aralık 2023,14260933,16 Kasım 2023,Yok,https://www.emlakjet.com//ilan/kemeralti-mahallesinde-tek-tapuda-2-adet-satilik-dairemiz-14260933/,7.500.000 TL,Muğla - Marmaris - Kemeraltı Mh.
